,@ in URLs,Attachments,Css,Encoding,External Resources,Flash content,HTML content,Html Form,Html iFrame,IPs in URLs,Javascript,Phishy,URLs,SFH,popUpWidnow,SSLfinal_State,Request_URL,URL_of_Anchor,web_traffic,URL_Length,age_of_domain,having_IP_Address,Result
35,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,0,-1,1,0,1
36,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,0,1,-1,0,1
37,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,1,-1,1,-1,-1,0,1
38,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,0,0,1,0,1
39,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,0,-1,1,0,-1,0,1
40,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,0,1,-1,1,1
41,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,1,-1,-1,1,0,1
42,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,1,0,1,-1,0,1,1,1
43,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,1,-1,1,1,0,1
44,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,0,0,1,0,1
45,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,0,-1,0,1
46,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,0,-1,1,1,0,1
47,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,-1,-1,1,0,1
48,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,1,-1,1,1
49,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,-1,1,0,1
50,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,1,1,-1,-1,0,1
51,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,0,-1,0,1
52,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,0,0,-1,0,1
53,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,0,-1,-1,1,0,1
54,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,1,-1,0,0,-1,0,1
55,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,-1,-1,0,1
56,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,0,1,0,-1,0,1
57,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,0,0,1,-1,0,-1,1,0,1
58,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,-1,1,1,0,1
59,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,1,1,0,1,1,1,1
60,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,0,1,-1,-1,0,1
61,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,1,-1,0,1
62,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,0,1,-1,-1,0,-1,-1,0,1
63,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,0,-1,-1,1,-1,-1,0,1
64,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,-1,0,0,1,0,1
65,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,0,-1,1,-1,-1,0,1
66,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,0,-1,1,0,1
67,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,-1,-1,0,1
68,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,1,-1,-1,0,-1,-1,0,1
69,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,-1,0,1,0,1
70,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,-1,0,1,0,1
71,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,1,1,-1,0,1,0,1
72,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,1,1,1,-1,-1,0,1
73,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,1,0,-1,0,1
74,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,1,-1,1,0,1
75,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,-1,-1,0,1,0,1
76,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,1,1,0,-1,0,1
77,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,-1,1,1,1,1
78,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,-1,0,1,0,1
79,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,0,1,-1,1,1
80,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,1,0,-1,0,1
81,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,1,-1,-1,0,1
82,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,0,0,1,1,1,1
83,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,0,-1,1,-1,-1,0,1
84,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,0,1,1,-1,0,1
85,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,1,-1,1,0,1
86,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,0,-1,1,0,1
87,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,0,0,-1,0,1
88,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,0,1,0,1,0,1
89,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,1,1,-1,1,1
90,FALSE,0,0,7bit,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,-1,-1,1,0,1
91,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,1,0,1,-1,1,1,0,1
92,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,0,0,-1,0,1
93,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,-1,1,1,0,1
94,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,-1,0,1,0,1
95,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,0,-1,-1,0,1
96,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,-1,-1,1,-1,1,0,1
97,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,0,1,1,1,1
98,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,0,-1,0,1
99,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,1,0,1,0,1,-1,0,1
100,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,1,0,1,0,1
101,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,1,-1,-1,0,1
102,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,-1,-1,1,0,1
103,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,0,-1,1,-1,-1,0,1
104,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,1,-1,-1,0,0,-1,0,1
105,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,0,-1,-1,-1,1,0,-1,0,1
106,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,1,1,0,-1,0,1
107,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,-1,0,1,0,1
108,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,0,0,0,-1,0,1
109,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,0,-1,1,0,-1,0,1
110,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,1,0,0,1,0,1
111,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,-1,-1,1,0,1
112,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,0,-1,1,-1,1,0,1
113,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,1,-1,1,1,0,1
114,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,-1,-1,1,1,1
115,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,-1,-1,0,1
116,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,-1,1,0,-1,0,1
117,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,0,0,-1,0,1
118,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,0,-1,-1,1,1,1,1
119,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,1,0,-1,0,1
120,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,-1,-1,0,1
121,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,0,-1,1,1,-1,0,1
122,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,0,-1,1,0,1
123,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,-1,0,0,1,0,1
124,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,-1,0,-1,1,0,1
125,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,-1,-1,0,1
126,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,0,-1,0,0,-1,0,1
127,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,-1,-1,0,1
128,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,0,1,1,0,1
129,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,1,0,-1,0,1
130,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,0,-1,-1,1,1,0,1
131,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,-1,-1,0,1
132,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,0,-1,1,-1,-1,0,1
133,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,1,-1,-1,0,1
134,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,0,-1,-1,-1,1,0,1
135,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,0,-1,1,0,1
136,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,0,0,1,-1,0,1,0,1
137,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,0,1,0,1,0,1
138,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,1,0,-1,0,1
139,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,1,1,0,0,1,0,1
140,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,1,0,-1,1,-1,1,0,1
141,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,1,0,-1,0,1
142,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,0,-1,-1,1,1,1,1
143,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,0,0,-1,-1,0,-1,-1,0,1
144,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,1,0,-1,1,0,1
145,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,1,-1,1,-1,-1,0,1
146,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,1,1,0,-1,0,1
147,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,0,-1,0,1
148,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,-1,1,1,0,1
149,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,0,1,1,1,0,1
150,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,1,1,-1,-1,0,1
151,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,1,1,-1,1,1,0,1
152,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,-1,1,0,1
153,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,0,-1,-1,0,1
154,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,1,1,-1,-1,0,1
155,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,0,1,1,1,1
156,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,1,0,1,0,1
157,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,0,0,-1,0,1
158,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,-1,-1,0,0,-1,0,1
159,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,1,-1,1,1
160,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,-1,-1,0,-1,-1,0,1
161,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,0,-1,1,1,-1,0,1
162,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,1,0,-1,0,0,1,0,1
163,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,1,-1,1,1,1,1
164,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,-1,-1,0,1
165,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,1,-1,1,1,0,1
166,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,1,0,-1,0,1
167,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,1,-1,0,-1,-1,-1,0,1,0,1
168,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,0,-1,-1,1,-1,-1,0,1
169,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,-1,1,0,1
170,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,1,-1,1,0,1
171,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,0,-1,-1,0,-1,-1,0,1
172,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,1,1,1,-1,-1,0,1
173,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,0,1,1,-1,1,1
174,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,-1,0,1,1,1,1
175,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,1,0,1,-1,0,1,0,1
176,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,1,-1,-1,0,1
177,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,0,-1,0,0,0,1,0,1
178,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,0,-1,-1,-1,0,0,1,0,1
179,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,-1,-1,-1,-1,0,1,0,1
180,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,-1,0,0,1,0,-1,0,1
181,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,-1,-1,0,1,1,-1,1,0,1
182,FALSE,0,0,7bit,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,-1,-1,1,0,0,1,-1,-1,0,1
